Task: Inpaint;
dataset: Celeba.

Pth will be saved to: ../../Pths/Inpaint/prefix/pretrain/64_128_6_2.pth


Image will be saved to: ../../Images/Inpaint/prefix/pretrain/64_128_6_2.eps

Generating Net...
Before PSNR: 14.849733929576685, 	 After PSNR: 8.088624981537288
Before PSNR: 14.82721145106421, 	 After PSNR: 8.239817553762686
Before PSNR: 14.759963649498495, 	 After PSNR: 8.404116356546275
Before PSNR: 14.64861073540352, 	 After PSNR: 8.29331838355117
Done.
Training Begins.
Now at epoch [1/48].
Paras have been created. Loaded.
The number of paras in the network is 11907712.
Test before training...
Inpaint local size 64, image size 64. Process: [0/30000 (0.00%)]	Loss: 0.781270
Before PSNR: 14.845858510571487, 	 After PSNR: 7.055883305912442
Inpaint local size 64, image size 64. Process: [48/30000 (0.16%)]	Loss: 0.565377
Before PSNR: 14.822959839734407, 	 After PSNR: 7.19749113065928
Before PSNR: 14.75725738798094, 	 After PSNR: 7.22268547308786
Inpaint local size 64, image size 64. Process: [96/30000 (0.32%)]	Loss: 0.471937
Before PSNR: 14.641756862231594, 	 After PSNR: 7.200778587757639
Done.
Training Begins.
Now at epoch [1/12].
Inpaint local size 64, image size 64. Process: [144/30000 (0.48%)]	Loss: 0.404504
Inpaint local size 64, image size 128. Process: [0/30000 (0.00%)]	Loss: 0.846451
Inpaint local size 64, image size 64. Process: [192/30000 (0.64%)]	Loss: 0.371784
Inpaint local size 64, image size 128. Process: [48/30000 (0.04%)]	Loss: 0.696720
Inpaint local size 64, image size 64. Process: [240/30000 (0.80%)]	Loss: 0.352511
Inpaint local size 64, image size 128. Process: [96/30000 (0.08%)]	Loss: 0.507975
Inpaint local size 64, image size 64. Process: [288/30000 (0.96%)]	Loss: 0.321246
Inpaint local size 64, image size 128. Process: [144/30000 (0.12%)]	Loss: 0.480235
Inpaint local size 64, image size 64. Process: [336/30000 (1.12%)]	Loss: 0.302292
Inpaint local size 64, image size 128. Process: [192/30000 (0.16%)]	Loss: 0.407518
Inpaint local size 64, image size 64. Process: [384/30000 (1.28%)]	Loss: 0.290595
Inpaint local size 64, image size 128. Process: [240/30000 (0.20%)]	Loss: 0.330324
Inpaint local size 64, image size 64. Process: [432/30000 (1.44%)]	Loss: 0.295936
Inpaint local size 64, image size 128. Process: [288/30000 (0.24%)]	Loss: 0.342571
Inpaint local size 64, image size 64. Process: [480/30000 (1.60%)]	Loss: 0.269503
Inpaint local size 64, image size 128. Process: [336/30000 (0.28%)]	Loss: 0.317779
Inpaint local size 64, image size 64. Process: [528/30000 (1.76%)]	Loss: 0.287519
Inpaint local size 64, image size 128. Process: [384/30000 (0.32%)]	Loss: 0.302873
Inpaint local size 64, image size 64. Process: [576/30000 (1.92%)]	Loss: 0.245364
Inpaint local size 64, image size 128. Process: [432/30000 (0.36%)]	Loss: 0.349481
Inpaint local size 64, image size 64. Process: [624/30000 (2.08%)]	Loss: 0.248875
Inpaint local size 64, image size 128. Process: [480/30000 (0.40%)]	Loss: 0.289135
Inpaint local size 64, image size 64. Process: [672/30000 (2.24%)]	Loss: 0.231912
Inpaint local size 64, image size 128. Process: [528/30000 (0.44%)]	Loss: 0.319264
Inpaint local size 64, image size 64. Process: [720/30000 (2.40%)]	Loss: 0.230588
Inpaint local size 64, image size 128. Process: [576/30000 (0.48%)]	Loss: 0.283336
Inpaint local size 64, image size 128. Process: [624/30000 (0.52%)]	Loss: 0.304960
Inpaint local size 64, image size 64. Process: [768/30000 (2.56%)]	Loss: 0.226275
Inpaint local size 64, image size 128. Process: [672/30000 (0.56%)]	Loss: 0.299635
Inpaint local size 64, image size 64. Process: [816/30000 (2.72%)]	Loss: 0.223371
Inpaint local size 64, image size 128. Process: [720/30000 (0.60%)]	Loss: 0.272634
Inpaint local size 64, image size 64. Process: [864/30000 (2.88%)]	Loss: 0.239283
Inpaint local size 64, image size 128. Process: [768/30000 (0.64%)]	Loss: 0.274356
Inpaint local size 64, image size 64. Process: [912/30000 (3.04%)]	Loss: 0.212929
Inpaint local size 64, image size 128. Process: [816/30000 (0.68%)]	Loss: 0.280964
Inpaint local size 64, image size 64. Process: [960/30000 (3.20%)]	Loss: 0.213594
Inpaint local size 64, image size 128. Process: [864/30000 (0.72%)]	Loss: 0.273532
Inpaint local size 64, image size 64. Process: [1008/30000 (3.36%)]	Loss: 0.209983
Inpaint local size 64, image size 128. Process: [912/30000 (0.76%)]	Loss: 0.246458
Inpaint local size 64, image size 128. Process: [960/30000 (0.80%)]	Loss: 0.242516
Inpaint local size 64, image size 64. Process: [1056/30000 (3.52%)]	Loss: 0.207307
Inpaint local size 64, image size 64. Process: [1104/30000 (3.68%)]	Loss: 0.215920
Inpaint local size 64, image size 128. Process: [1008/30000 (0.84%)]	Loss: 0.240939
Inpaint local size 64, image size 128. Process: [1056/30000 (0.88%)]	Loss: 0.216310
Inpaint local size 64, image size 64. Process: [1152/30000 (3.84%)]	Loss: 0.189358
Inpaint local size 64, image size 128. Process: [1104/30000 (0.92%)]	Loss: 0.232596
Inpaint local size 64, image size 64. Process: [1200/30000 (4.00%)]	Loss: 0.198038
Inpaint local size 64, image size 128. Process: [1152/30000 (0.96%)]	Loss: 0.249677
Inpaint local size 64, image size 64. Process: [1248/30000 (4.16%)]	Loss: 0.194837
Inpaint local size 64, image size 128. Process: [1200/30000 (1.00%)]	Loss: 0.218238
Inpaint local size 64, image size 64. Process: [1296/30000 (4.32%)]	Loss: 0.182698
Inpaint local size 64, image size 128. Process: [1248/30000 (1.04%)]	Loss: 0.217512
Inpaint local size 64, image size 64. Process: [1344/30000 (4.48%)]	Loss: 0.183246
Inpaint local size 64, image size 128. Process: [1296/30000 (1.08%)]	Loss: 0.223453
Inpaint local size 64, image size 64. Process: [1392/30000 (4.64%)]	Loss: 0.174696
Inpaint local size 64, image size 128. Process: [1344/30000 (1.12%)]	Loss: 0.198963
Inpaint local size 64, image size 64. Process: [1440/30000 (4.80%)]	Loss: 0.186657
Inpaint local size 64, image size 128. Process: [1392/30000 (1.16%)]	Loss: 0.201805
Inpaint local size 64, image size 64. Process: [1488/30000 (4.96%)]	Loss: 0.176252
Inpaint local size 64, image size 128. Process: [1440/30000 (1.20%)]	Loss: 0.212053
Inpaint local size 64, image size 64. Process: [1536/30000 (5.12%)]	Loss: 0.172616
Inpaint local size 64, image size 128. Process: [1488/30000 (1.24%)]	Loss: 0.209647
Inpaint local size 64, image size 64. Process: [1584/30000 (5.28%)]	Loss: 0.179621
Inpaint local size 64, image size 128. Process: [1536/30000 (1.28%)]	Loss: 0.191038
Inpaint local size 64, image size 64. Process: [1632/30000 (5.44%)]	Loss: 0.170162
